%     time            U11            U12            U13            U21            U22            U23            U31            U32            U33
    0.0429     2.9295e-13              0    -5.9337e-14              0     1.7432e-13              0     5.9337e-14              0     1.7952e-13
    0.0432     2.8319e-13              0    -5.3797e-14              0     1.7961e-13              0     5.3797e-14              0     1.6061e-13
    0.0435     2.7271e-13              0    -5.2906e-14              0     1.8384e-13              0     5.2906e-14              0     1.3991e-13
    0.0438     2.6264e-13              0    -5.6784e-14              0     1.8692e-13              0     5.6784e-14              0     1.1953e-13
    0.0441     2.5404e-13              0    -6.5122e-14              0     1.8885e-13              0     6.5122e-14              0     1.0158e-13
    0.0444     2.4786e-13              0    -7.7211e-14              0     1.8974e-13              0     7.7211e-14              0     8.7924e-14
    0.0447     2.4486e-13              0    -9.2002e-14              0     1.8979e-13              0     9.2002e-14              0     8.0083e-14
     0.045     2.4548e-13              0     -1.082e-13              0     1.8929e-13              0      1.082e-13              0     7.9046e-14
    0.0453     2.4986e-13              0    -1.2438e-13              0     1.8857e-13              0     1.2438e-13              0     8.5203e-14
    0.0456      2.578e-13              0    -1.3911e-13              0       1.88e-13              0     1.3911e-13              0       9.83e-14
    0.0459     2.6878e-13              0    -1.5108e-13              0     1.8791e-13              0     1.5108e-13              0     1.1747e-13
    0.0462       2.82e-13              0    -1.5923e-13              0     1.8862e-13              0     1.5923e-13              0     1.4128e-13
    0.0465     2.9647e-13              0    -1.6283e-13              0     1.9036e-13              0     1.6283e-13              0      1.679e-13
    0.0468     3.1106e-13              0    -1.6157e-13              0     1.9328e-13              0     1.6157e-13              0     1.9524e-13
    0.0471     3.2466e-13              0    -1.5556e-13              0     1.9743e-13              0     1.5556e-13              0     2.2112e-13
    0.0474     3.3622e-13              0    -1.4533e-13              0     2.0273e-13              0     1.4533e-13              0     2.4351e-13
    0.0477     3.4487e-13              0    -1.3181e-13              0     2.0904e-13              0     1.3181e-13              0     2.6068e-13
     0.048        3.5e-13              0    -1.1622e-13              0     2.1607e-13              0     1.1622e-13              0     2.7135e-13
    0.0483     3.5134e-13              0    -9.9955e-14              0     2.2352e-13              0     9.9955e-14              0     2.7483e-13
    0.0486     3.4893e-13              0    -8.4494e-14              0     2.3103e-13              0     8.4494e-14              0     2.7108e-13
    0.0489     3.4314e-13              0    -7.1239e-14              0     2.3823e-13              0     7.1239e-14              0      2.607e-13
    0.0492     3.3469e-13              0    -6.1401e-14              0     2.4479e-13              0     6.1401e-14              0     2.4489e-13
    0.0495      3.245e-13              0    -5.5886e-14              0     2.5042e-13              0     5.5886e-14              0     2.2535e-13
    0.0498     3.1366e-13              0    -5.5218e-14              0     2.5492e-13              0     5.5218e-14              0     2.0411e-13
    0.0501     3.0335e-13              0    -5.9483e-14              0     2.5821e-13              0     5.9483e-14              0     1.8337e-13
    0.0504     2.9467e-13              0    -6.8329e-14              0      2.603e-13              0     6.8329e-14              0      1.653e-13
    0.0507      2.886e-13              0    -8.0987e-14              0      2.613e-13              0     8.0987e-14              0     1.5181e-13
     0.051     2.8589e-13              0    -9.6345e-14              0     2.6145e-13              0     9.6345e-14              0     1.4445e-13
    0.0513     2.8698e-13              0    -1.1304e-13              0     2.6103e-13              0     1.1304e-13              0     1.4421e-13
    0.0516     2.9199e-13              0     -1.296e-13              0     2.6042e-13              0      1.296e-13              0     1.5142e-13
    0.0519     3.0066e-13              0    -1.4453e-13              0     2.5996e-13              0     1.4453e-13              0     1.6579e-13
    0.0522     3.1244e-13              0     -1.565e-13              0     2.6004e-13              0      1.565e-13              0     1.8636e-13
    0.0525     3.2646e-13              0    -1.6443e-13              0     2.6096e-13              0     1.6443e-13              0     2.1161e-13
    0.0528     3.4167e-13              0     -1.676e-13              0     2.6296e-13              0      1.676e-13              0     2.3961e-13
    0.0531     3.5689e-13              0    -1.6571e-13              0      2.662e-13              0     1.6571e-13              0     2.6816e-13
    0.0534     3.7096e-13              0    -1.5892e-13              0      2.707e-13              0     1.5892e-13              0     2.9503e-13
    0.0537     3.8279e-13              0    -1.4782e-13              0     2.7639e-13              0     1.4782e-13              0     3.1811e-13
     0.054     3.9151e-13              0     -1.334e-13              0      2.831e-13              0      1.334e-13              0     3.3562e-13
    0.0543     3.9652e-13              0    -1.1694e-13              0     2.9053e-13              0     1.1694e-13              0      3.463e-13
    0.0546     3.9754e-13              0    -9.9903e-14              0     2.9836e-13              0     9.9903e-14              0     3.4946e-13
    0.0549     3.9465e-13              0    -8.3828e-14              0     3.0621e-13              0     8.3828e-14              0     3.4513e-13
    0.0552     3.8831e-13              0    -7.0156e-14              0      3.137e-13              0     7.0156e-14              0     3.3397e-13
    0.0555     3.7925e-13              0     -6.012e-14              0     3.2047e-13              0      6.012e-14              0     3.1728e-13
    0.0558     3.6847e-13              0    -5.4634e-14              0     3.2625e-13              0     5.4634e-14              0     2.9684e-13
    0.0561     3.5714e-13              0    -5.4203e-14              0     3.3083e-13              0     5.4203e-14              0     2.7481e-13
    0.0564     3.4646e-13              0    -5.8881e-14              0     3.3413e-13              0     5.8881e-14              0     2.5346e-13
    0.0567     3.3759e-13              0    -6.8264e-14              0     3.3617e-13              0     6.8264e-14              0     2.3504e-13
     0.057     3.3153e-13              0    -8.1521e-14              0     3.3708e-13              0     8.1521e-14              0     2.2153e-13
    0.0573     3.2904e-13              0    -9.7473e-14              0     3.3711e-13              0     9.7473e-14              0     2.1447e-13
    0.0576     3.3055e-13              0    -1.1469e-13              0     3.3657e-13              0     1.1469e-13              0     2.1485e-13
    0.0579     3.3613e-13              0    -1.3163e-13              0     3.3584e-13              0     1.3163e-13              0     2.2298e-13
    0.0582      3.455e-13              0    -1.4676e-13              0      3.353e-13              0     1.4676e-13              0     2.3849e-13
    0.0585     3.5803e-13              0     -1.587e-13              0     3.3534e-13              0      1.587e-13              0     2.6033e-13
    0.0588      3.728e-13              0    -1.6638e-13              0     3.3626e-13              0     1.6638e-13              0     2.8689e-13
    0.0591     3.8868e-13              0    -1.6906e-13              0     3.3833e-13              0     1.6906e-13              0     3.1612e-13
    0.0594     4.0445e-13              0    -1.6649e-13              0     3.4167e-13              0     1.6649e-13              0     3.4574e-13
    0.0597     4.1887e-13              0    -1.5886e-13              0     3.4633e-13              0     1.5886e-13              0     3.7342e-13
      0.06     4.3085e-13              0    -1.4682e-13              0     3.5221e-13              0     1.4682e-13              0     3.9697e-13
    0.0603     4.3949e-13              0    -1.3144e-13              0     3.5911e-13              0     1.3144e-13              0      4.146e-13
    0.0606     4.4418e-13              0    -1.1405e-13              0     3.6674e-13              0     1.1405e-13              0     4.2502e-13
    0.0609     4.4469e-13              0    -9.6206e-14              0     3.7474e-13              0     9.6206e-14              0     4.2759e-13
    0.0612     4.4113e-13              0    -7.9488e-14              0     3.8271e-13              0     7.9488e-14              0     4.2237e-13
    0.0615     4.3401e-13              0    -6.5385e-14              0     3.9026e-13              0     6.5385e-14              0     4.1011e-13
    0.0618     4.2413e-13              0    -5.5155e-14              0     3.9701e-13              0     5.5155e-14              0     3.9221e-13
    0.0621     4.1257e-13              0    -4.9715e-14              0      4.027e-13              0     4.9715e-14              0     3.7056e-13
    0.0624     4.0054e-13              0    -4.9552e-14              0      4.071e-13              0     4.9552e-14              0     3.4741e-13
    0.0627     3.8932e-13              0    -5.4682e-14              0     4.1014e-13              0     5.4682e-14              0     3.2516e-13
     0.063     3.8011e-13              0    -6.4646e-14              0     4.1186e-13              0     6.4646e-14              0      3.061e-13
    0.0633     3.7393e-13              0    -7.8547e-14              0      4.124e-13              0     7.8547e-14              0     2.9229e-13
    0.0636     3.7154e-13              0    -9.5131e-14              0     4.1202e-13              0     9.5131e-14              0     2.8529e-13
    0.0639     3.7336e-13              0     -1.129e-13              0     4.1107e-13              0      1.129e-13              0     2.8608e-13
    0.0642     3.7943e-13              0    -1.3024e-13              0     4.0993e-13              0     1.3024e-13              0     2.9492e-13
    0.0645     3.8941e-13              0    -1.4557e-13              0     4.0901e-13              0     1.4557e-13              0     3.1137e-13
    0.0648     4.0259e-13              0    -1.5748e-13              0      4.087e-13              0     1.5748e-13              0     3.3429e-13
    0.0651     4.1799e-13              0    -1.6487e-13              0     4.0934e-13              0     1.6487e-13              0     3.6196e-13
    0.0654     4.3442e-13              0    -1.6702e-13              0     4.1118e-13              0     1.6702e-13              0     3.9222e-13
    0.0657     4.5057e-13              0    -1.6371e-13              0     4.1434e-13              0     1.6371e-13              0     4.2267e-13
     0.066     4.6517e-13              0    -1.5518e-13              0     4.1886e-13              0     1.5518e-13              0     4.5089e-13
    0.0663     4.7708e-13              0    -1.4215e-13              0     4.2463e-13              0     1.4215e-13              0     4.7464e-13
