%     time            U11            U12            U13            U21            U22            U23            U31            U32            U33
    0.0344     1.8688e-10     5.0823e-33              0              0     1.8688e-10              0              0              0     2.4451e-11
    0.0346     1.6132e-10     1.4304e-31              0              0     1.6132e-10              0              0              0     2.1713e-11
    0.0348     1.3814e-10     3.4725e-31              0              0     1.3814e-10              0              0              0     1.9702e-11
     0.035      1.173e-10     5.9877e-31              0              0      1.173e-10              0              0              0     1.8395e-11
    0.0352     9.8722e-11     8.7724e-31              0              0     9.8722e-11              0              0              0     1.7767e-11
    0.0354     8.2301e-11     1.1623e-30              0              0     8.2301e-11              0              0              0     1.7798e-11
    0.0356     6.7923e-11     1.4348e-30              0              0     6.7923e-11              0              0              0     1.8467e-11
    0.0358      5.546e-11     1.6779e-30              0              0      5.546e-11              0              0              0     1.9759e-11
     0.036     4.4773e-11     1.8781e-30              0              0     4.4773e-11              0              0              0     2.1657e-11
    0.0362     3.5717e-11     2.0254e-30              0              0     3.5717e-11              0              0              0     2.4147e-11
    0.0364     2.8144e-11     2.1141e-30              0              0     2.8144e-11              0              0              0     2.7217e-11
    0.0366     2.1906e-11     2.1427e-30              0              0     2.1906e-11              0              0              0     3.0854e-11
    0.0368     1.6857e-11     2.1132e-30              0              0     1.6857e-11              0              0              0     3.5048e-11
     0.037     1.2858e-11     2.0315e-30              0              0     1.2858e-11              0              0              0     3.9785e-11
    0.0372     9.7725e-12     1.9061e-30              0              0     9.7725e-12              0              0              0     4.5054e-11
    0.0374     7.4768e-12     1.7476e-30              0              0     7.4768e-12              0              0              0     5.0839e-11
    0.0376     5.8545e-12     1.5678e-30              0              0     5.8545e-12              0              0              0     5.7126e-11
    0.0378     4.7998e-12      1.379e-30              0              0     4.7998e-12              0              0              0     6.3894e-11
     0.038      4.218e-12     1.1931e-30              0              0      4.218e-12              0              0              0     7.1124e-11
    0.0382     4.0255e-12      1.021e-30              0              0     4.0255e-12              0              0              0      7.879e-11
    0.0384     4.1495e-12     8.7176e-31              0              0     4.1495e-12              0              0              0     8.6866e-11
    0.0386     4.5281e-12     7.5246e-31              0              0     4.5281e-12              0              0              0     9.5318e-11
    0.0388     5.1094e-12     6.6767e-31              0              0     5.1094e-12              0              0              0     1.0411e-10
     0.039      5.851e-12     6.1948e-31              0              0      5.851e-12              0              0              0     1.1321e-10
    0.0392     6.7189e-12     6.0751e-31              0              0     6.7189e-12              0              0              0     1.2257e-10
    0.0394      7.687e-12      6.291e-31              0              0      7.687e-12              0              0              0     1.3215e-10
    0.0396     8.7358e-12     6.7964e-31              0              0     8.7358e-12              0              0              0     1.4189e-10
    0.0398     9.8516e-12     7.5301e-31              0              0     9.8516e-12              0              0              0     1.5174e-10
      0.04     1.1025e-11     8.4204e-31              0              0     1.1025e-11              0              0              0     1.6166e-10
    0.0402     1.2251e-11     9.3905e-31              0              0     1.2251e-11              0              0              0     1.7159e-10
    0.0404     1.3527e-11     1.0364e-30              0              0     1.3527e-11              0              0              0     1.8147e-10
    0.0406     1.4852e-11     1.1267e-30              0              0     1.4852e-11              0              0              0     1.9124e-10
    0.0408     1.6228e-11     1.2039e-30              0              0     1.6228e-11              0              0              0     2.0086e-10
     0.041     1.7654e-11     1.2626e-30              0              0     1.7654e-11              0              0              0     2.1027e-10
    0.0412     1.9134e-11     1.2994e-30              0              0     1.9134e-11              0              0              0     2.1942e-10
    0.0414     2.0668e-11     1.3122e-30              0              0     2.0668e-11              0              0              0     2.2825e-10
    0.0416     2.2257e-11     1.3004e-30              0              0     2.2257e-11              0              0              0     2.3674e-10
    0.0418       2.39e-11     1.2654e-30              0              0       2.39e-11              0              0              0     2.4483e-10
     0.042     2.5595e-11     1.2094e-30              0              0     2.5595e-11              0              0              0     2.5249e-10
    0.0422     2.7339e-11     1.1361e-30              0              0     2.7339e-11              0              0              0     2.5969e-10
