%        w           SY11           SY12           SY13           SY21           SY22           SY23           SY31           SY32           SY33
       260              0      -0.018482              0      -0.018482              0     -0.0087218              0     -0.0087218              0
       261              0      -0.019368              0      -0.019368              0     -0.0088751              0     -0.0088751              0
       262              0      -0.020065              0      -0.020065              0     -0.0089375              0     -0.0089375              0
       263              0      -0.020565              0      -0.020565              0     -0.0089084              0     -0.0089084              0
       264              0      -0.020864              0      -0.020864              0     -0.0087879              0     -0.0087879              0
       265              0      -0.020958              0      -0.020958              0     -0.0085773              0     -0.0085773              0
       266              0      -0.020848              0      -0.020848              0     -0.0082788              0     -0.0082788              0
       267              0      -0.020534              0      -0.020534              0     -0.0078953              0     -0.0078953              0
       268              0      -0.020019              0      -0.020019              0     -0.0074309              0     -0.0074309              0
       269              0      -0.019309              0      -0.019309              0     -0.0068903              0     -0.0068903              0
       270              0      -0.018411              0      -0.018411              0     -0.0062792              0     -0.0062792              0
       271              0      -0.017335              0      -0.017335              0     -0.0056039              0     -0.0056039              0
       272              0      -0.016091              0      -0.016091              0     -0.0048714              0     -0.0048714              0
       273              0      -0.014692              0      -0.014692              0     -0.0040894              0     -0.0040894              0
       274              0      -0.013152              0      -0.013152              0      -0.003266              0      -0.003266              0
       275              0      -0.011487              0      -0.011487              0     -0.0024098              0     -0.0024098              0
       276              0     -0.0097134              0     -0.0097134              0     -0.0015296              0     -0.0015296              0
       277              0     -0.0078488              0     -0.0078488              0    -0.00063477              0    -0.00063477              0
       278              0     -0.0059121              0     -0.0059121              0     0.00026548              0     0.00026548              0
       279              0     -0.0039227              0     -0.0039227              0      0.0011618              0      0.0011618              0
       280              0     -0.0019005              0     -0.0019005              0      0.0020448              0      0.0020448              0
       281              0     0.00013438              0     0.00013438              0      0.0029053              0      0.0029053              0
       282              0      0.0021617              0      0.0021617              0      0.0037344              0      0.0037344              0
       283              0      0.0041615              0      0.0041615              0      0.0045235              0      0.0045235              0
       284              0      0.0061138              0      0.0061138              0      0.0052644              0      0.0052644              0
       285              0      0.0079996              0      0.0079996              0      0.0059494              0      0.0059494              0
       286              0      0.0098002              0      0.0098002              0      0.0065715              0      0.0065715              0
       287              0       0.011498              0       0.011498              0      0.0071242              0      0.0071242              0
       288              0       0.013077              0       0.013077              0       0.007602              0       0.007602              0
       289              0       0.014521              0       0.014521              0          0.008              0          0.008              0
       290              0       0.015817              0       0.015817              0      0.0083141              0      0.0083141              0
       291              0       0.016953              0       0.016953              0      0.0085413              0      0.0085413              0
       292              0       0.017917              0       0.017917              0      0.0086793              0      0.0086793              0
       293              0       0.018702              0       0.018702              0      0.0087269              0      0.0087269              0
       294              0       0.019299              0       0.019299              0      0.0086838              0      0.0086838              0
       295              0       0.019704              0       0.019704              0      0.0085506              0      0.0085506              0
       296              0       0.019913              0       0.019913              0       0.008329              0       0.008329              0
       297              0       0.019926              0       0.019926              0      0.0080216              0      0.0080216              0
       298              0       0.019743              0       0.019743              0      0.0076317              0      0.0076317              0
       299              0       0.019368              0       0.019368              0      0.0071637              0      0.0071637              0
       300              0       0.018803              0       0.018803              0      0.0066227              0      0.0066227              0
       301              0       0.018057              0       0.018057              0      0.0060147              0      0.0060147              0
       302              0       0.017138              0       0.017138              0      0.0053462              0      0.0053462              0
       303              0       0.016054              0       0.016054              0      0.0046245              0      0.0046245              0
       304              0        0.01482              0        0.01482              0      0.0038572              0      0.0038572              0
       305              0       0.013446              0       0.013446              0      0.0030528              0      0.0030528              0
       306              0       0.011948              0       0.011948              0      0.0022197              0      0.0022197              0
       307              0       0.010342              0       0.010342              0      0.0013668              0      0.0013668              0
       308              0      0.0086434              0      0.0086434              0     0.00050332              0     0.00050332              0
