%        w            U11            U12            U13            U21            U22            U23            U31            U32            U33
       121     2.3002e-11              0     2.9831e-11              0     1.9933e-10              0    -2.3059e-10             -0    -3.0177e-10
       122     3.5175e-11              0     3.0259e-11              0     1.3386e-10              0    -2.3733e-10             -0    -3.4782e-10
       123        4.6e-11              0     2.9894e-11              0     6.7276e-11              0    -2.4223e-10             -0    -3.8969e-10
       124      5.538e-11              0     2.8752e-11              0     2.2282e-13              0    -2.4522e-10             -0    -4.2704e-10
       125     6.3275e-11              0     2.6838e-11              0    -6.6548e-11              0    -2.4625e-10             -0    -4.5941e-10
       126     6.9627e-11              0     2.4194e-11              0     -1.324e-10              0     -2.453e-10             -0    -4.8656e-10
       127     7.4386e-11              0     2.0864e-11              0    -1.9673e-10              0    -2.4235e-10             -0    -5.0834e-10
       128     7.7522e-11              0     1.6895e-11              0    -2.5894e-10              0    -2.3741e-10             -0    -5.2467e-10
       129     7.9028e-11              0     1.2345e-11              0    -3.1845e-10              0    -2.3053e-10             -0    -5.3547e-10
       130     7.8944e-11              0     7.2715e-12              0    -3.7458e-10              0    -2.2174e-10             -0     -5.406e-10
       131     7.7298e-11              0     1.7464e-12              0    -4.2683e-10              0    -2.1112e-10             -0    -5.4011e-10
       132     7.4114e-11              0    -4.1602e-12              0    -4.7474e-10              0    -1.9876e-10             -0    -5.3418e-10
       133     6.9474e-11              0    -1.0368e-11              0     -5.178e-10              0    -1.8476e-10             -0    -5.2288e-10
       134     6.3435e-11              0    -1.6803e-11              0    -5.5566e-10              0    -1.6925e-10             -0    -5.0649e-10
       135     5.6105e-11              0    -2.3376e-11              0    -5.8792e-10              0    -1.5236e-10             -0    -4.8518e-10
       136     4.7579e-11              0     -3.001e-11              0     -6.143e-10              0    -1.3424e-10             -0     -4.593e-10
       137     3.7964e-11              0    -3.6622e-11              0    -6.3458e-10              0    -1.1506e-10             -0    -4.2921e-10
       138     2.7401e-11              0    -4.3125e-11              0    -6.4855e-10              0    -9.4978e-11             -0    -3.9522e-10
       139     1.6012e-11              0    -4.9443e-11              0    -6.5612e-10              0    -7.4191e-11             -0    -3.5782e-10
       140     3.9506e-12              0    -5.5492e-11              0    -6.5723e-10              0    -5.2878e-11             -0    -3.1738e-10
       141    -8.6356e-12              0    -6.1194e-11              0    -6.5188e-10              0    -3.1236e-11             -0    -2.7436e-10
       142      -2.16e-11              0    -6.6485e-11              0    -6.4017e-10              0    -9.4577e-12             -0    -2.2932e-10
       143    -3.4785e-11              0    -7.1301e-11              0    -6.2225e-10              0     1.2258e-11              0    -1.8276e-10
       144    -4.8018e-11              0     -7.556e-11              0    -5.9828e-10              0     3.3719e-11              0    -1.3507e-10
       145    -6.1149e-11              0    -7.9221e-11              0    -5.6857e-10              0     5.4733e-11              0    -8.6848e-11
       146    -7.4016e-11              0    -8.2231e-11              0    -5.3341e-10              0      7.511e-11              0    -3.8592e-11
       147    -8.6462e-11              0    -8.4541e-11              0    -4.9317e-10              0     9.4674e-11              0     9.2334e-12
       148    -9.8336e-11              0    -8.6112e-11              0    -4.4829e-10              0     1.1325e-10              0      5.614e-11
       149    -1.0949e-10              0    -8.6922e-11              0    -3.9922e-10              0     1.3069e-10              0     1.0164e-10
       150    -1.1978e-10              0    -8.6947e-11              0    -3.4648e-10              0     1.4682e-10              0      1.453e-10
       151    -1.2908e-10              0    -8.6167e-11              0    -2.9059e-10              0     1.6153e-10              0     1.8671e-10
       152    -1.3727e-10              0    -8.4578e-11              0    -2.3214e-10              0     1.7469e-10              0     2.2549e-10
       153    -1.4424e-10              0    -8.2178e-11              0    -1.7171e-10              0      1.862e-10              0     2.6128e-10
       154    -1.4989e-10              0    -7.8981e-11              0    -1.0992e-10              0     1.9596e-10              0     2.9376e-10
       155    -1.5413e-10              0    -7.4998e-11              0    -4.7391e-11              0     2.0391e-10              0     3.2266e-10
       156    -1.5688e-10             -0    -7.0259e-11             -0     1.5257e-11              0     2.0999e-10              0     3.4774e-10
       157     -1.581e-10             -0    -6.4788e-11             -0      7.739e-11              0     2.1417e-10              0     3.6882e-10
