%        w           SX11           SX12           SX13           SX21           SX22           SX23           SX31           SX32           SX33
       212     -0.0045078              0      0.0053126              0      0.0019437              0      0.0053126              0     -0.0020551
       213     -0.0057481              0      0.0049673              0      0.0018856              0      0.0049673              0     -0.0015391
       214     -0.0069459              0      0.0045629              0      0.0018058              0      0.0045629              0     -0.0010199
       215     -0.0080925              0      0.0041018              0      0.0017043              0      0.0041018              0     -0.0005033
       216     -0.0091798              0      0.0035871              0      0.0015812              0      0.0035871              0     4.9073e-06
       217        -0.0102              0      0.0030223              0      0.0014371              0      0.0030223              0     0.00049907
       218      -0.011146              0      0.0024118              0      0.0012724              0      0.0024118              0     0.00097378
       219      -0.012011              0      0.0017601              0      0.0010881              0      0.0017601              0      0.0014238
       220       -0.01279              0      0.0010727              0     0.00088519              0      0.0010727              0      0.0018444
       221      -0.013478              0     0.00035514              0     0.00066506              0     0.00035514              0      0.0022309
       222       -0.01407              0    -0.00038644              0     0.00042919              0    -0.00038644              0      0.0025794
       223      -0.014562              0     -0.0011456              0     0.00017925              0     -0.0011456              0      0.0028862
       224      -0.014953              0     -0.0019155              0     -8.287e-05              0     -0.0019155              0       0.003148
       225      -0.015241              0     -0.0026893              0    -0.00035517              0     -0.0026893              0      0.0033625
       226      -0.015425              0     -0.0034596              0    -0.00063549              0     -0.0034596              0      0.0035273
       227      -0.015504              0     -0.0042193              0    -0.00092156              0     -0.0042193              0      0.0036411
       228       -0.01548              0     -0.0049611              0      -0.001211              0     -0.0049611              0      0.0037029
       229      -0.015355              0     -0.0056776              0     -0.0015014              0     -0.0056776              0      0.0037124
       230      -0.015131              0     -0.0063616              0     -0.0017903              0     -0.0063616              0      0.0036698
       231      -0.014812              0     -0.0070062              0     -0.0020752              0     -0.0070062              0      0.0035759
       232      -0.014401              0     -0.0076046              0     -0.0023535              0     -0.0076046              0      0.0034322
       233      -0.013904              0     -0.0081504              0     -0.0026228              0     -0.0081504              0      0.0032406
       234      -0.013326              0     -0.0086375              0     -0.0028807              0     -0.0086375              0      0.0030035
       235      -0.012673              0     -0.0090603              0     -0.0031248              0     -0.0090603              0       0.002724
       236      -0.011953              0     -0.0094136              0     -0.0033529              0     -0.0094136              0      0.0024056
       237      -0.011172              0      -0.009693              0     -0.0035629              0      -0.009693              0      0.0020519
       238      -0.010337              0     -0.0098945              0     -0.0037527              0     -0.0098945              0      0.0016674
       239     -0.0094572              0      -0.010015              0     -0.0039206              0      -0.010015              0      0.0012566
       240     -0.0085402              0      -0.010052              0     -0.0040648              0      -0.010052              0     0.00082432
       241     -0.0075944              0      -0.010003              0      -0.004184              0      -0.010003              0     0.00037563
       242     -0.0066281              0     -0.0098675              0     -0.0042769              0     -0.0098675              0    -8.4191e-05
       243     -0.0056498              0     -0.0096455              0     -0.0043425              0     -0.0096455              0    -0.00054983
       244     -0.0046678              0     -0.0093372              0       -0.00438              0     -0.0093372              0     -0.0010159
       245     -0.0036903              0     -0.0089441              0     -0.0043888              0     -0.0089441              0     -0.0014769
       246     -0.0027253              0     -0.0084684              0     -0.0043687              0     -0.0084684              0     -0.0019278
