%     time           SY11           SY12           SY13           SY22           SY23           SY33
    0.1658              0              0    -1.0518e-21              0    -8.2923e-05              0
     0.166              0              0    -1.0524e-21              0      -9.01e-05              0
    0.1662              0              0     -1.053e-21              0    -9.7687e-05              0
    0.1664              0              0    -1.0536e-21              0    -0.00010559              0
    0.1666              0              0    -1.0541e-21              0    -0.00011369              0
    0.1668              0              0    -1.0547e-21              0    -0.00012184              0
     0.167              0              0    -1.0552e-21              0    -0.00012988              0
    0.1672              0              0    -1.0557e-21              0     -0.0001376              0
    0.1674              0              0    -1.0562e-21              0     -0.0001448              0
    0.1676              0              0    -1.0566e-21              0    -0.00015123              0
    0.1678              0              0    -1.0571e-21              0    -0.00015663              0
     0.168              0              0    -1.0575e-21              0     -0.0001607              0
    0.1682              0              0    -1.0579e-21              0    -0.00016316              0
    0.1684              0              0    -1.0582e-21              0    -0.00016369              0
    0.1686              0              0    -1.0586e-21              0    -0.00016198              0
    0.1688              0              0    -1.0589e-21              0    -0.00015772              0
     0.169              0              0    -1.0592e-21              0    -0.00015061              0
    0.1692              0              0    -1.0594e-21              0    -0.00014036              0
    0.1694              0              0    -1.0597e-21              0    -0.00012669              0
    0.1696              0              0    -1.0599e-21              0    -0.00010937              0
    0.1698              0              0    -1.0601e-21              0    -8.8214e-05              0
      0.17              0              0    -1.0603e-21              0    -6.3058e-05              0
    0.1702              0              0    -1.0605e-21              0    -3.3808e-05              0
    0.1704              0              0    -1.0606e-21              0    -4.2805e-07              0
    0.1706              0              0    -1.0607e-21              0     3.7049e-05              0
    0.1708              0              0    -1.0608e-21              0      7.852e-05              0
     0.171              0              0    -1.0609e-21              0      0.0001238              0
    0.1712              0              0    -1.0609e-21              0     0.00017263              0
    0.1714              0              0    -1.0609e-21              0     0.00022468              0
    0.1716              0              0    -1.0609e-21              0      0.0002795              0
    0.1718              0              0    -1.0609e-21              0     0.00033661              0
     0.172              0              0    -1.0608e-21              0     0.00039542              0
    0.1722              0              0    -1.0608e-21              0     0.00045528              0
    0.1724              0              0    -1.0607e-21              0      0.0005155              0
    0.1726              0              0    -1.0605e-21              0     0.00057531              0
    0.1728              0              0    -1.0604e-21              0     0.00063391              0
     0.173              0              0    -1.0602e-21              0     0.00069046              0
    0.1732              0              0    -1.0601e-21              0     0.00074413              0
    0.1734              0              0    -1.0598e-21              0     0.00079406              0
    0.1736              0              0    -1.0596e-21              0     0.00083942              0
    0.1738              0              0    -1.0594e-21              0     0.00087942              0
     0.174              0              0    -1.0591e-21              0     0.00091329              0
    0.1742              0              0    -1.0588e-21              0     0.00094035              0
    0.1744              0              0    -1.0585e-21              0     0.00095997              0
    0.1746              0              0    -1.0581e-21              0     0.00097163              0
    0.1748              0              0    -1.0578e-21              0     0.00097489              0
     0.175              0              0    -1.0574e-21              0     0.00096946              0
    0.1752              0              0     -1.057e-21              0     0.00095513              0
    0.1754              0              0    -1.0566e-21              0     0.00093185              0
    0.1756              0              0    -1.0562e-21              0     0.00089967              0
    0.1758              0              0    -1.0557e-21              0     0.00085882              0
     0.176              0              0    -1.0553e-21              0     0.00080961              0
    0.1762              0              0    -1.0548e-21              0     0.00075251              0
    0.1764              0              0    -1.0543e-21              0     0.00068811              0
    0.1766              0              0    -1.0538e-21              0     0.00061712              0
    0.1768              0              0    -1.0532e-21              0     0.00054032              0
     0.177              0              0    -1.0527e-21              0     0.00045862              0
    0.1772              0              0    -1.0521e-21              0     0.00037297              0
    0.1774              0              0    -1.0516e-21              0      0.0002844              0
    0.1776              0              0     -1.051e-21              0     0.00019398              0
    0.1778              0              0    -1.0504e-21              0     0.00010278              0
     0.178              0              0    -1.0498e-21              0     1.1895e-05              0
    0.1782              0              0    -1.0492e-21              0    -7.7608e-05              0
    0.1784              0              0    -1.0485e-21              0    -0.00016469              0
    0.1786              0              0    -1.0479e-21              0    -0.00024837              0
    0.1788              0              0    -1.0472e-21              0    -0.00032774              0
     0.179              0              0    -1.0466e-21              0    -0.00040196              0
    0.1792              0              0    -1.0459e-21              0    -0.00047029              0
    0.1794              0              0    -1.0452e-21              0    -0.00053211              0
    0.1796              0              0    -1.0445e-21              0    -0.00058689              0
    0.1798              0              0    -1.0438e-21              0    -0.00063424              0
      0.18              0              0    -1.0431e-21              0     -0.0006739              0
    0.1802              0              0    -1.0424e-21              0     -0.0007057              0
    0.1804              0              0    -1.0416e-21              0    -0.00072963              0
    0.1806              0              0    -1.0409e-21              0    -0.00074578              0
    0.1808              0              0    -1.0402e-21              0    -0.00075436              0
     0.181              0              0    -1.0394e-21              0    -0.00075567              0
    0.1812              0              0    -1.0386e-21              0    -0.00075011              0
    0.1814              0              0    -1.0379e-21              0    -0.00073818              0
    0.1816              0              0    -1.0371e-21              0    -0.00072043              0
    0.1818              0              0    -1.0363e-21              0    -0.00069747              0
     0.182              0              0    -1.0355e-21              0    -0.00066996              0
    0.1822              0              0    -1.0348e-21              0    -0.00063857              0
    0.1824              0              0     -1.034e-21              0      -0.000604              0
    0.1826              0              0    -1.0332e-21              0    -0.00056695              0
    0.1828              0              0    -1.0324e-21              0     -0.0005281              0
     0.183              0              0    -1.0316e-21              0    -0.00048812              0
    0.1832              0              0    -1.0308e-21              0    -0.00044762              0
    0.1834              0              0      -1.03e-21              0     -0.0004072              0
    0.1836              0              0    -1.0292e-21              0    -0.00036737              0
    0.1838              0              0    -1.0284e-21              0    -0.00032862              0
     0.184              0              0    -1.0276e-21              0    -0.00029136              0
    0.1842              0              0    -1.0268e-21              0    -0.00025593              0
    0.1844              0              0     -1.026e-21              0    -0.00022262              0
    0.1846              0              0    -1.0252e-21              0    -0.00019164              0
    0.1848              0              0    -1.0244e-21              0    -0.00016315              0
     0.185              0              0    -1.0237e-21              0    -0.00013724              0
    0.1852              0              0    -1.0229e-21              0    -0.00011395              0
    0.1854              0              0    -1.0221e-21              0    -9.3267e-05              0
    0.1856              0              0    -1.0213e-21              0    -7.5126e-05              0
    0.1858              0              0    -1.0206e-21              0    -5.9431e-05              0
     0.186              0              0    -1.0198e-21              0    -4.6051e-05              0
    0.1862              0              0    -1.0191e-21              0    -3.4827e-05              0
    0.1864              0              0    -1.0183e-21              0    -2.5582e-05              0
    0.1866              0              0    -1.0176e-21              0    -1.8124e-05              0
    0.1868              0              0    -1.0169e-21              0    -1.2254e-05              0
     0.187              0              0    -1.0162e-21              0    -7.7729e-06              0
    0.1872              0              0    -1.0155e-21              0    -4.4815e-06              0
    0.1874              0              0    -1.0148e-21              0    -2.1894e-06              0
    0.1876              0              0    -1.0141e-21              0    -7.1671e-07              0
    0.1878              0              0    -1.0134e-21              0     1.0301e-07              0
     0.188              0              0    -1.0127e-21              0     4.2054e-07              0
    0.1882              0              0    -1.0121e-21              0     3.6953e-07              0
    0.1884              0              0    -1.0114e-21              0     6.5796e-08              0
    0.1886              0              0    -1.0108e-21              0    -3.9284e-07              0
    0.1888              0              0    -1.0102e-21              0    -9.2621e-07              0
     0.189              0              0    -1.0096e-21              0    -1.4709e-06              0
    0.1892              0              0     -1.009e-21              0    -1.9791e-06              0
    0.1894              0              0    -1.0084e-21              0     -2.417e-06              0
    0.1896              0              0    -1.0079e-21              0     -2.763e-06              0
    0.1898              0              0    -1.0074e-21              0    -3.0061e-06              0
      0.19              0              0    -1.0068e-21              0    -3.1437e-06              0
    0.1902              0              0    -1.0063e-21              0    -3.1797e-06              0
    0.1904              0              0    -1.0059e-21              0    -3.1229e-06              0
    0.1906              0              0    -1.0054e-21              0    -2.9851e-06              0
    0.1908              0              0     -1.005e-21              0    -2.7796e-06              0
     0.191              0              0    -1.0045e-21              0    -2.5198e-06              0
    0.1912              0              0    -1.0042e-21              0    -2.2182e-06              0
    0.1914              0              0    -1.0038e-21              0    -1.8854e-06              0
    0.1916              0              0    -1.0034e-21              0    -1.5295e-06              0
    0.1918              0              0    -1.0031e-21              0    -1.1557e-06              0
     0.192              0              0    -1.0028e-21              0    -7.6587e-07              0
    0.1922              0              0    -1.0025e-21              0    -3.5869e-07              0
    0.1924              0              0    -1.0022e-21              0      7.022e-08              0
    0.1926              0              0     -1.002e-21              0     5.2812e-07              0
    0.1928              0              0    -1.0017e-21              0     1.0247e-06              0
     0.193              0              0    -1.0015e-21              0     1.5716e-06              0
    0.1932              0              0    -1.0013e-21              0      2.182e-06              0
    0.1934              0              0    -1.0012e-21              0       2.87e-06              0
    0.1936              0              0    -1.0011e-21              0     3.6498e-06              0
    0.1938              0              0    -1.0009e-21              0     4.5355e-06              0
     0.194              0              0    -1.0008e-21              0     5.5407e-06              0
    0.1942              0              0    -1.0008e-21              0     6.6773e-06              0
    0.1944              0              0    -1.0007e-21              0     7.9558e-06              0
    0.1946              0              0    -1.0007e-21              0     9.3846e-06              0
    0.1948              0              0    -1.0007e-21              0      1.097e-05              0
     0.195              0              0    -1.0007e-21              0     1.2715e-05              0
    0.1952              0              0    -1.0007e-21              0      1.462e-05              0
    0.1954              0              0    -1.0008e-21              0     1.6684e-05              0
    0.1956              0              0    -1.0009e-21              0     1.8901e-05              0
    0.1958              0              0     -1.001e-21              0     2.1262e-05              0
     0.196              0              0    -1.0011e-21              0     2.3757e-05              0
    0.1962              0              0    -1.0013e-21              0     2.6372e-05              0
    0.1964              0              0    -1.0015e-21              0      2.909e-05              0
    0.1966              0              0    -1.0016e-21              0     3.1891e-05              0
    0.1968              0              0    -1.0019e-21              0     3.4754e-05              0
     0.197              0              0    -1.0021e-21              0     3.7655e-05              0
    0.1972              0              0    -1.0024e-21              0     4.0569e-05              0
    0.1974              0              0    -1.0026e-21              0     4.3467e-05              0
    0.1976              0              0    -1.0029e-21              0     4.6321e-05              0
    0.1978              0              0    -1.0033e-21              0     4.9101e-05              0
     0.198              0              0    -1.0036e-21              0     5.1778e-05              0
    0.1982              0              0     -1.004e-21              0      5.432e-05              0
    0.1984              0              0    -1.0043e-21              0     5.6698e-05              0
    0.1986              0              0    -1.0047e-21              0     5.8883e-05              0
    0.1988              0              0    -1.0052e-21              0     6.0847e-05              0
     0.199              0              0    -1.0056e-21              0     6.2565e-05              0
    0.1992              0              0     -1.006e-21              0     6.4012e-05              0
    0.1994              0              0    -1.0065e-21              0      6.517e-05              0
    0.1996              0              0     -1.007e-21              0     6.6022e-05              0
    0.1998              0              0    -1.0075e-21              0     6.6554e-05              0
       0.2              0              0     -1.008e-21              0      6.676e-05              0
    0.2002              0              0    -1.0085e-21              0     6.6636e-05              0
    0.2004              0              0     -1.009e-21              0     6.6185e-05              0
    0.2006              0              0    -1.0096e-21              0     6.5414e-05              0
    0.2008              0              0    -1.0102e-21              0     6.4337e-05              0
     0.201              0              0    -1.0107e-21              0     6.2971e-05              0
    0.2012              0              0    -1.0113e-21              0     6.1339e-05              0
    0.2014              0              0    -1.0119e-21              0     5.9468e-05              0
    0.2016              0              0    -1.0125e-21              0     5.7389e-05              0
    0.2018              0              0    -1.0132e-21              0     5.5135e-05              0
     0.202              0              0    -1.0138e-21              0     5.2741e-05              0
    0.2022              0              0    -1.0144e-21              0      5.024e-05              0
    0.2024              0              0    -1.0151e-21              0     4.7666e-05              0
