%        w            U11            U12            U13            U21            U22            U23            U31            U32            U33
       175    -2.2996e-10              0    -8.4527e-11              0     2.0947e-10              0     1.7105e-10              0     3.4871e-10
       176    -2.2721e-10              0    -7.7183e-11              0     2.6321e-10              0     1.7001e-10              0     3.5402e-10
       177    -2.2268e-10              0    -6.9199e-11              0     3.1398e-10              0     1.6733e-10              0     3.5558e-10
       178    -2.1639e-10              0    -6.0631e-11              0     3.6131e-10              0     1.6307e-10              0     3.5344e-10
       179    -2.0834e-10              0    -5.1543e-11              0     4.0472e-10              0      1.573e-10              0     3.4769e-10
       180    -1.9861e-10              0    -4.2001e-11              0     4.4379e-10              0     1.5011e-10              0     3.3846e-10
       181    -1.8724e-10              0    -3.2077e-11              0     4.7816e-10              0      1.416e-10              0      3.259e-10
       182     -1.743e-10              0    -2.1846e-11              0      5.075e-10              0      1.319e-10              0     3.1021e-10
       183    -1.5988e-10              0    -1.1387e-11              0     5.3154e-10              0     1.2112e-10              0      2.916e-10
       184    -1.4408e-10              0      -7.77e-13              0     5.5006e-10              0     1.0941e-10              0     2.7031e-10
       185    -1.2702e-10              0      9.901e-12              0     5.6291e-10              0     9.6903e-11              0     2.4663e-10
       186    -1.0881e-10              0     2.0566e-11              0     5.6998e-10              0     8.3757e-11              0     2.2083e-10
       187    -8.9599e-11              0     3.1136e-11              0     5.7122e-10              0     7.0124e-11              0     1.9322e-10
       188    -6.9517e-11              0     4.1528e-11              0     5.6667e-10              0     5.6163e-11              0     1.6411e-10
       189    -4.8721e-11              0     5.1662e-11              0     5.5638e-10              0     4.2033e-11              0     1.3385e-10
       190    -2.7368e-11              0     6.1461e-11              0      5.405e-10              0     2.7894e-11              0     1.0275e-10
       191    -5.6148e-12              0     7.0848e-11              0     5.1922e-10              0     1.3903e-11              0     7.1169e-11
       192     1.6372e-11              0      7.975e-11              0     4.9277e-10              0     2.1292e-13              0     3.9428e-11
       193     3.8419e-11              0     8.8098e-11              0     4.6145e-10              0    -1.3027e-11              0     7.8633e-12
       194     6.0367e-11              0     9.5828e-11              0      4.256e-10              0    -2.5678e-11              0    -2.3201e-11
       195     8.2042e-11              0     1.0288e-10              0     3.8561e-10              0    -3.7605e-11              0    -5.3452e-11
       196     1.0328e-10              0      1.092e-10              0      3.419e-10              0    -4.8685e-11              0    -8.2592e-11
       197     1.2393e-10              0     1.1474e-10              0     2.9493e-10              0    -5.8806e-11              0    -1.1034e-10
       198     1.4382e-10              0     1.1945e-10              0      2.452e-10              0    -6.7868e-11              0    -1.3643e-10
       199      1.628e-10              0     1.2331e-10              0     1.9322e-10              0    -7.5783e-11              0    -1.6062e-10
       200     1.8074e-10              0     1.2628e-10              0     1.3953e-10              0    -8.2478e-11              0     -1.827e-10
       201      1.975e-10              0     1.2834e-10              0     8.4682e-11              0    -8.7895e-11              0    -2.0248e-10
       202     2.1295e-10              0     1.2947e-10              0     2.9235e-11              0    -9.1988e-11              0    -2.1979e-10
       203     2.2698e-10              0     1.2968e-10              0    -2.6245e-11              0    -9.4731e-11              0    -2.3451e-10
       204      2.395e-10              0     1.2895e-10              0    -8.1198e-11              0     -9.611e-11              0    -2.4651e-10
       205     2.5041e-10              0     1.2731e-10              0    -1.3507e-10              0    -9.6129e-11              0    -2.5574e-10
       206     2.5963e-10              0     1.2476e-10              0    -1.8732e-10              0    -9.4804e-11              0    -2.6215e-10
       207     2.6711e-10              0     1.2133e-10              0    -2.3744e-10              0    -9.2171e-11              0    -2.6571e-10
       208      2.728e-10              0     1.1704e-10              0    -2.8492e-10              0    -8.8278e-11              0    -2.6646e-10
       209     2.7666e-10              0     1.1194e-10              0    -3.2929e-10              0    -8.3187e-11              0    -2.6443e-10
       210     2.7868e-10              0     1.0607e-10              0    -3.7014e-10              0    -7.6973e-11              0    -2.5969e-10
       211     2.7886e-10              0      9.948e-11              0    -4.0705e-10              0    -6.9724e-11              0    -2.5235e-10
       212      2.772e-10              0     9.2221e-11              0    -4.3969e-10              0    -6.1541e-11              0    -2.4253e-10
       213     2.7373e-10              0     8.4357e-11              0    -4.6774e-10              0    -5.2533e-11              0    -2.3038e-10
       214      2.685e-10              0     7.5952e-11              0    -4.9094e-10              0    -4.2817e-11              0    -2.1608e-10
       215     2.6156e-10              0     6.7077e-11              0    -5.0908e-10              0    -3.2521e-11              0     -1.998e-10
       216     2.5297e-10              0     5.7805e-11              0    -5.2202e-10              0    -2.1776e-11              0    -1.8177e-10
       217     2.4281e-10              0     4.8211e-11              0    -5.2964e-10              0    -1.0718e-11              0     -1.622e-10
       218     2.3119e-10              0     3.8374e-11              0     -5.319e-10              0     5.1249e-13              0    -1.4133e-10
       219     2.1818e-10              0     2.8375e-11              0     -5.288e-10              0     1.1775e-11              0    -1.1939e-10
       220     2.0392e-10              0     1.8293e-11              0    -5.2041e-10              0     2.2928e-11              0    -9.6644e-11
       221     1.8852e-10              0     8.2103e-12              0    -5.0683e-10              0     3.3833e-11              0    -7.3341e-11
       222      1.721e-10              0    -1.7933e-12              0    -4.8824e-10              0     4.4354e-11              0    -4.9737e-11
       223     1.5481e-10              0    -1.1638e-11              0    -4.6484e-10              0      5.436e-11              0    -2.6084e-11
