%        w           SZ11           SZ12           SZ13           SZ21           SZ22           SZ23           SZ31           SZ32           SZ33
       206     -0.0030715              0     -0.0020168              0     0.00026864              0     -0.0020168              0      0.0016508
       207      -0.003715              0     -0.0010726              0     0.00018765              0     -0.0010726              0      0.0020391
       208     -0.0043293              0    -0.00013251              0     0.00010476              0    -0.00013251              0      0.0024075
       209     -0.0049095              0     0.00079351              0     2.0412e-05              0     0.00079351              0      0.0027523
       210     -0.0054511              0      0.0016958              0    -6.4928e-05              0      0.0016958              0      0.0030699
       211     -0.0059499              0      0.0025652              0    -0.00015079              0      0.0025652              0      0.0033571
       212     -0.0064021              0      0.0033929              0    -0.00023667              0      0.0033929              0       0.003611
       213     -0.0068042              0      0.0041708              0    -0.00032208              0      0.0041708              0      0.0038287
       214     -0.0071533              0      0.0048914              0    -0.00040653              0      0.0048914              0      0.0040081
       215     -0.0074467              0      0.0055478              0    -0.00048949              0      0.0055478              0      0.0041472
       216     -0.0076824              0      0.0061341              0    -0.00057048              0      0.0061341              0      0.0042444
       217     -0.0078588              0      0.0066453              0      -0.000649              0      0.0066453              0      0.0042986
       218     -0.0079748              0       0.007077              0    -0.00072455              0       0.007077              0      0.0043091
       219     -0.0080298              0      0.0074259              0    -0.00079668              0      0.0074259              0      0.0042756
       220     -0.0080238              0      0.0076898              0    -0.00086491              0      0.0076898              0      0.0041983
       221     -0.0079573              0      0.0078672              0    -0.00092883              0      0.0078672              0      0.0040778
       222     -0.0078312              0      0.0079577              0      -0.000988              0      0.0079577              0       0.003915
       223      -0.007647              0      0.0079619              0     -0.0010421              0      0.0079619              0      0.0037115
       224     -0.0074067              0      0.0078811              0     -0.0010906              0      0.0078811              0      0.0034691
       225     -0.0071127              0      0.0077179              0     -0.0011334              0      0.0077179              0        0.00319
       226      -0.006768              0      0.0074754              0     -0.0011701              0      0.0074754              0      0.0028769
       227     -0.0063759              0      0.0071578              0     -0.0012004              0      0.0071578              0      0.0025329
       228     -0.0059402              0      0.0067698              0     -0.0012242              0      0.0067698              0       0.002161
       229     -0.0054648              0      0.0063169              0     -0.0012412              0      0.0063169              0       0.001765
       230     -0.0049542              0      0.0058053              0     -0.0012515              0      0.0058053              0      0.0013488
       231     -0.0044132              0      0.0052417              0     -0.0012547              0      0.0052417              0     0.00091631
       232     -0.0038466              0      0.0046333              0      -0.001251              0      0.0046333              0     0.00047187
       233     -0.0032595              0      0.0039876              0     -0.0012404              0      0.0039876              0     1.9916e-05
       234     -0.0026572              0      0.0033124              0     -0.0012228              0      0.0033124              0    -0.00043515
       235     -0.0020451              0      0.0026158              0     -0.0011985              0      0.0026158              0    -0.00088871
       236     -0.0014285              0      0.0019058              0     -0.0011675              0      0.0019058              0     -0.0013363
       237    -0.00081284              0      0.0011906              0       -0.00113              0      0.0011906              0     -0.0017733
       238    -0.00020349              0     0.00047818              0     -0.0010863              0     0.00047818              0     -0.0021955
       239     0.00039436              0    -0.00022349              0     -0.0010366              0    -0.00022349              0     -0.0025984
       240     0.00097563              0    -0.00090683              0    -0.00098137              0    -0.00090683              0      -0.002978
       241      0.0015354              0     -0.0015646              0    -0.00092083              0     -0.0015646              0     -0.0033304
       242      0.0020692              0     -0.0021899              0    -0.00085541              0     -0.0021899              0     -0.0036519
       243      0.0025725              0     -0.0027764              0    -0.00078554              0     -0.0027764              0     -0.0039393
       244      0.0030414              0     -0.0033182              0    -0.00071167              0     -0.0033182              0     -0.0041895
       245      0.0034722              0     -0.0038103              0    -0.00063429              0     -0.0038103              0     -0.0043999
       246      0.0038618              0     -0.0042481              0     -0.0005539              0     -0.0042481              0     -0.0045683
       247      0.0042072              0     -0.0046277              0    -0.00047103              0     -0.0046277              0     -0.0046928
       248      0.0045062              0      -0.004946              0    -0.00038621              0      -0.004946              0     -0.0047721
       249      0.0047569              0     -0.0052009              0    -0.00030001              0     -0.0052009              0     -0.0048053
       250      0.0049578              0     -0.0053907              0    -0.00021298              0     -0.0053907              0     -0.0047918
       251      0.0051081              0     -0.0055147              0    -0.00012569              0     -0.0055147              0     -0.0047318
       252      0.0052074              0     -0.0055729              0    -3.8698e-05              0     -0.0055729              0     -0.0046257
       253      0.0052558              0     -0.0055662              0     4.7434e-05              0     -0.0055662              0     -0.0044745
       254      0.0052539              0     -0.0054961              0     0.00013215              0     -0.0054961              0     -0.0042797
       255      0.0052029              0     -0.0053649              0     0.00021492              0     -0.0053649              0     -0.0040431
       256      0.0051042              0     -0.0051756              0     0.00029521              0     -0.0051756              0     -0.0037671
       257        0.00496              0     -0.0049317              0     0.00037253              0     -0.0049317              0     -0.0034544
       258      0.0047726              0     -0.0046375              0     0.00044639              0     -0.0046375              0     -0.0031082
       259      0.0045451              0     -0.0042977              0     0.00051636              0     -0.0042977              0     -0.0027318
       260      0.0042805              0     -0.0039174              0       0.000582              0     -0.0039174              0     -0.0023293
